Attributes,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,OpenInt,OpenInt,OpenInt,OpenInt,OpenInt,OpenInt,Volume,Volume,Volume,Volume,Volume,Volume
Symbols,^SPX,^DJI,^NDX,GC.F,SI.F,CL.F,^SPX,^DJI,^NDX,GC.F,SI.F,CL.F,^SPX,^DJI,^NDX,GC.F,SI.F,CL.F,^SPX,^DJI,^NDX,GC.F,SI.F,CL.F,^SPX,^DJI,^NDX,GC.F,SI.F,CL.F,^SPX,^DJI,^NDX,GC.F,SI.F,CL.F
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-10-01,185.07,1341.0,112.14,327.1,612.5,28.57,185.08,1344.0,112.16,327.7,614.5,28.71,182.02,1323.5,110.57,324.9,607.5,28.4,182.06,1328.6,110.62,326.0,608.0,28.63,,,,122763.0,76118.0,63508.0,72333333.0,15600373.0,26406897.0,29497.0,13530.0,16868.0
1985-10-02,184.06,1333.7,110.82,328.3,613.0,28.83,185.94,1351.6,112.54,329.7,616.5,28.85,184.06,1328.0,110.78,326.0,610.0,28.63,185.07,1341.0,112.14,327.0,610.5,28.68,,,,121861.0,76462.0,65213.0,81833333.0,12576478.0,28386207.0,26469.0,8087.0,13632.0
1985-10-03,184.36,1333.1,110.87,333.9,646.5,28.77,185.17,1345.4,111.18,335.7,650.0,29.06,183.59,1323.8,110.12,328.1,622.0,28.72,184.06,1333.7,110.84,329.5,629.0,29.0,,,,122698.0,80428.0,65564.0,70833333.0,10694575.0,25396552.0,44750.0,51339.0,18715.0
1985-10-04,183.22,1328.7,110.07,332.2,640.0,28.37,184.36,1335.0,110.87,334.5,653.0,28.52,182.65,1321.1,109.86,330.3,635.5,28.22,184.36,1333.1,110.87,334.5,643.0,28.35,,,,122295.0,81159.0,66690.0,56222222.0,8829276.0,25500000.0,28029.0,29777.0,19988.0
1985-10-07,181.87,1324.4,108.2,330.5,640.5,28.52,183.22,1335.9,110.14,331.3,641.5,28.55,181.3,1315.2,108.18,329.3,635.5,28.08,183.22,1328.7,110.07,331.0,636.5,28.25,,,,123371.0,82126.0,66681.0,53083333.0,9299219.0,22179310.0,17678.0,12535.0,14256.0
1985-10-08,181.87,1325.5,107.16,328.6,635.5,28.62,182.3,1333.9,108.27,330.9,640.0,28.72,181.16,1316.2,106.75,328.5,635.0,28.43,181.87,1324.4,108.2,330.0,637.0,28.6,,,,123214.0,82796.0,67281.0,53983333.0,7619294.0,24844828.0,17851.0,11702.0,15043.0
1985-10-09,182.52,1326.7,108.63,329.0,629.5,28.3,183.27,1336.8,108.99,331.7,639.5,28.67,181.87,1320.2,107.11,328.4,629.0,28.28,181.87,1325.5,107.16,330.5,637.0,28.52,,,,123888.0,82698.0,68057.0,55077778.0,7500507.0,26931034.0,21863.0,13924.0,15541.0
1985-10-10,182.78,1328.1,109.43,329.1,627.5,27.86,182.79,1333.3,109.51,329.4,632.5,28.1,182.05,1318.4,107.81,327.7,626.5,27.84,182.52,1326.7,108.63,329.0,629.0,28.05,,,,123280.0,81552.0,68979.0,50505556.0,6009499.0,26696552.0,13092.0,9502.0,20969.0
1985-10-11,184.28,1339.9,111.05,330.7,633.0,28.01,184.28,1343.4,111.12,331.2,634.0,28.06,182.61,1323.7,109.43,328.9,627.5,27.87,182.78,1328.1,109.43,329.3,629.5,27.92,,,,123358.0,82188.0,68543.0,53538889.0,9209384.0,27279310.0,14618.0,7334.0,7688.0
1985-10-14,186.37,1354.7,113.18,329.8,633.5,28.45,186.37,1356.2,113.27,330.4,634.0,28.48,184.28,1336.6,111.05,329.2,630.1,27.99,184.31,1339.9,111.05,330.0,631.9,28.08,,,,123392.0,82194.0,69223.0,43633333.0,8640877.0,21227586.0,4861.0,3381.0,13019.0
1985-10-15,186.08,1350.8,113.38,329.1,630.5,28.76,187.16,1364.1,113.98,331.4,634.0,28.8,185.66,1343.5,112.79,328.8,630.0,28.53,186.37,1354.7,113.18,330.0,633.5,28.55,,,,123996.0,82128.0,67317.0,61333333.0,13527021.0,29544828.0,12342.0,4433.0,19246.0
1985-10-16,187.98,1368.5,114.32,326.8,615.5,28.71,187.98,1371.3,114.34,328.4,628.5,28.88,186.08,1346.2,113.2,325.5,615.0,28.52,186.08,1350.8,113.38,327.8,627.0,28.86,,,,124773.0,80878.0,67804.0,65222222.0,13403660.0,30193103.0,22535.0,20314.0,15271.0
